# Temperature (°C), Pressure (kPa), Density (kg/m^3)
    -10.00,       0.285,       0.00236
     -5.00,       0.421,       0.00332
      0.00,       0.611,       0.00485
      2.00,       0.705,       0.00557
      4.00,       0.813,       0.00637
      6.00,       0.935,       0.00727
      8.00,       1.072,       0.00828
     10.00,       1.227,       0.00941
     12.00,       1.401,       0.01067
     14.00,       1.597,       0.01208
     16.00,       1.817,       0.01365
     18.00,       2.062,       0.01539
     20.00,       2.337,       0.01732
     22.00,       2.642,       0.01944
     24.00,       2.984,       0.02181
     26.00,       3.361,       0.02440
     28.00,       3.780,       0.02726
     30.00,       4.242,       0.03039
     35.00,       5.624,       0.03963
     40.00,       7.378,       0.05017
     45.00,       9.586,       0.06545
     50.00,      12.34,       0.0830
     60.00,      19.92,       0.130
     70.00,      31.16,       0.198
     80.00,      47.34,       0.293
     85.00,      57.81,       0.353
     90.00,      70.10,       0.424
     95.00,      84.51,       0.5045
     96.00,      87.68,       0.5222
     97.00,      90.94,       0.5403
     98.00,      94.30,       0.5589
     99.00,      97.76,       0.5781
    100.00,     101.32,       0.5977
    105.00,     120.80,       0.7045
    110.00,     143.26,       0.8265
    120.00,     198.53,       1.122
    130.00,     270.13,       1.496
    140.00,     361.40,       1.967
    150.00,     476.00,       2.548
    160.00,     618.10,       3.260
    170.00,     792.10,       4.122
    180.00,    1002.60,       5.157
    190.00,    1255.00,       6.392
    200.00,    1554.40,       7.857
    250.00,    3975.40,      19.98
    300.00,    8590.30,      46.24
    350.00,   16532.00,     113.60
    374.20,   22060.00,     328.00
